4f7db003,afa7015,0,3,1,75,4296a000,4,17687,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.805250,2.796000,0.611813,0.569438,104.180000,28.623455,40.000000,78.125000,79.362503,81.724998,
4f7db003,afa7015,0,3,1,75,4296a000,4,17688,1115,ef,0,-0.009000,-0.006000,-0.006000,-0.006000,1.796062,2.795813,0.612938,0.573000,104.180000,28.624308,40.000000,78.125000,79.362503,81.724998,
4f7db003,afa7015,0,3,1,75,4296a000,4,17688,1115,ef,0,-0.009000,-0.006000,-0.006000,-0.006000,1.796062,2.795813,0.612938,0.573000,104.180000,28.624308,40.000000,78.125000,79.362503,81.724998,
4f7db003,afa7015,0,3,1,75,4296a000,4,17689,1115,ef,0,-0.009000,-0.006000,-0.003000,-0.006000,1.800000,2.800313,0.610687,0.574687,104.197998,28.624319,40.000000,78.237503,79.362503,81.724998,
4f7db003,afa7015,0,2,1,75,4296a000,4,17690,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.802812,2.801063,0.611250,0.573750,104.215996,28.623470,40.000000,78.237503,79.362503,81.724998,
4f7db003,afa7015,0,2,1,75,4296a000,4,17690,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.802812,2.801063,0.611250,0.573750,104.215996,28.623470,40.000000,78.237503,79.362503,81.724998,
4f7db003,afa7015,0,2,1,75,4296a000,4,17691,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.803187,2.802375,0.610687,0.573375,104.215996,28.622618,40.000000,78.237503,79.362503,81.724998,
4f7db003,afa7015,0,2,1,75,4296a000,4,17691,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.803187,2.802375,0.610687,0.573375,104.215996,28.622618,40.000000,78.237503,79.362503,81.724998,
4f7db003,afa7015,0,2,1,75,42966666,4,17692,1115,ef,0,0.000000,-0.006000,-0.006000,-0.006000,1.806563,2.798625,0.611437,0.570375,104.215996,28.623470,40.000000,78.237503,79.362503,81.724998,
4f7db003,afa7015,0,3,1,75,42966666,4,17693,1115,ef,0,-0.009000,-0.006000,-0.003000,-0.006000,1.805063,2.795625,0.611813,0.570188,104.234001,28.623480,40.000000,78.125000,79.362503,81.724998,
4f7db003,afa7015,0,3,1,75,42966666,4,17693,1115,ef,0,-0.009000,-0.006000,-0.003000,-0.006000,1.805063,2.795625,0.611813,0.570188,104.234001,28.623480,40.000000,78.125000,79.362503,81.724998,
4f7db003,afa7015,0,3,1,75,42966666,4,17694,1115,ef,0,-0.009000,-0.006000,-0.006000,-0.006000,1.799438,2.795250,0.612750,0.571312,104.234001,28.623480,40.000000,78.125000,79.362503,81.724998,
4f7db003,afa7015,0,3,1,75,42966666,4,17694,1115,ef,0,-0.009000,-0.006000,-0.006000,-0.006000,1.799438,2.795250,0.612750,0.571312,104.234001,28.623480,40.000000,78.125000,79.362503,81.724998,
4f7db003,afa7015,0,3,1,75,42966666,4,17695,1115,ef,0,-0.009000,-0.006000,-0.006000,-0.006000,1.802812,2.795813,0.611625,0.570000,104.234001,28.622631,40.000000,78.125000,79.362503,81.612503,
4f7db003,afa7015,0,2,1,75,42966666,4,17696,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.795313,2.793750,0.613125,0.573188,104.251999,28.624342,40.000000,78.125000,79.362503,81.612503,
4f7db003,afa7015,0,2,1,75,42966666,4,17696,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.795313,2.793750,0.613125,0.573188,104.251999,28.624342,40.000000,78.125000,79.362503,81.612503,
4f7db003,afa7015,0,2,1,75,42966666,4,17697,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.797562,2.799562,0.612750,0.573375,104.251999,28.621784,40.000000,78.012497,79.362503,81.612503,
4f7db003,afa7015,0,2,1,75,42966666,4,17697,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.797562,2.799562,0.612750,0.573375,104.251999,28.621784,40.000000,78.012497,79.362503,81.612503,
4f7db003,afa7015,0,2,1,75,42966666,4,17698,1115,ef,0,-0.009000,-0.006000,-0.006000,-0.006000,1.799062,2.801812,0.610500,0.574125,104.251999,28.620935,40.000000,78.012497,79.250000,81.612503,
